ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22744    0.013    0.000    0.152    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:746(__eq__)
    17859    0.013    0.000    0.149    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:850(_set_gc_clip)
     8653    0.027    0.000    0.141    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:1921(rotate)
    25601    0.024    0.000    0.141    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2714(amin)
     4584    0.016    0.000    0.141    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1333(_get_tick_label_size)
     7004    0.034    0.000    0.140    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/patches.py:523(_bind_draw_path_function)
    24194    0.097    0.000    0.140    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2201(_check_isinstance)
    44886    0.030    0.000    0.139    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/colors.py:124(_is_nth_color)
    18336    0.010    0.000    0.139    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3628(round_)
    46977    0.068    0.000    0.137    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:853(get_siblings)
    17859    0.023    0.000    0.136    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backend_bases.py:900(set_clip_path)
     4664    0.009    0.000    0.135    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/patches.py:258(get_transform)
   601432    0.134    0.000    0.134    0.000 {method 'partition' of 'str' objects}
    38030    0.020    0.000    0.133    0.000 {method 'max' of 'numpy.ndarray' objects}
    51954    0.036    0.000    0.132    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:52(_stale_axes_callback)
    35722    0.044    0.000    0.132    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:818(get_unitless_position)
    26588    0.023    0.000    0.132    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2589(amax)
      541    0.003    0.000    0.130    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2091(_update_offset_text_position)
     5148    0.027    0.000    0.129    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:680(__init__)
    92528    0.058    0.000    0.129    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/posixpath.py:60(isabs)
    18336    0.011    0.000    0.129    0.000 <__array_function__ internals>:2(around)
     4584    0.008    0.000    0.129    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2080(__call__)
     9868    0.025    0.000    0.123    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:98(__init__)
    30994    0.037    0.000    0.123    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py:117(__exit__)
     4584    0.049    0.000    0.121    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/ticker.py:823(_set_order_of_magnitude)
     4584    0.005    0.000    0.121    0.000 {method 'clip' of 'numpy.ndarray' objects}
     4584    0.023    0.000    0.120    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/lib/function_base.py:2179(_vectorize_call)
     9937    0.009    0.000    0.120    0.000 <__array_function__ internals>:2(reshape)
     3438    0.009    0.000    0.119    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/path.py:417(iter_bezier)
     4584    0.014    0.000    0.116    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:106(_clip)
     6335    0.005    0.000    0.115    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2694(get_transformed_points_and_affine)
     2420    0.021    0.000    0.114    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2526(get_tick_space)
    52218    0.017    0.000    0.113    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_asarray.py:86(asanyarray)
    38030    0.012    0.000    0.113    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:37(_amax)
    19694    0.014    0.000    0.110    0.000 {method 'min' of 'numpy.ndarray' objects}
   601432    0.109    0.000    0.109    0.000 {method 'endswith' of 'str' objects}
   138792    0.056    0.000    0.109    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/font_manager.py:1308(<genexpr>)
    32328    0.025    0.000    0.108    0.000 <__array_function__ internals>:2(dot)
    37858    0.064    0.000    0.108    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2027(_setattr_cm)
     2164    0.020    0.000    0.108    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:2241(get_tick_space)
    18336    0.012    0.000    0.105    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3168(around)
     6335    0.017    0.000    0.105    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/transforms.py:2681(_revalidate)
    44886    0.025    0.000    0.104    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/re.py:188(match)
     9937    0.008    0.000    0.102    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/fromnumeric.py:199(reshape)
     3491    0.025    0.000    0.102    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1538(_substitute)
